timestamp,server_id,metric_type,latency_ms,cpu_usage_pct,memory_usage_gb,status_code
2026-08-01 08:00:00,SRV-04,database,54.53,12.99,9.73,200
2026-08-01 08:05:00,SRV-03,api_gateway,64.58,60.05,13.6,200
2026-08-01 08:10:00,SRV-03,web_server,73.65,91.5,21.17,200
2026-08-01 08:15:00,SRV-03,api_gateway,55.97,91.89,20.52,200
2026-08-01 08:20:00,SRV-03,web_server,69.74,77.95,11.6,200
2026-08-01 08:25:00,SRV-02,api_gateway,51.85,83.43,23.73,200
2026-08-01 08:30:00,SRV-05,api_gateway,35.51,45.59,14.36,200
2026-08-01 08:35:00,SRV-02,web_server,58.55,78.72,24.6,200
2026-08-01 08:40:00,SRV-04,api_gateway,44.38,68.84,13.06,404
2026-08-01 08:45:00,SRV-04,web_server,76.13,88.33,24.74,500
2026-08-01 08:50:00,SRV-05,database,40.89,67.09,29.16,200
2026-08-01 08:55:00,SRV-01,database,43.13,20.65,14.84,200
2026-08-01 09:00:00,SRV-01,web_server,80.65,22.43,7.6,200
2026-08-01 09:05:00,SRV-04,web_server,34.52,57.78,9.23,201
2026-08-01 09:10:00,SRV-03,web_server,46.22,84.73,9.41,200
2026-08-01 09:15:00,SRV-03,api_gateway,36.24,76.2,16.07,200
2026-08-01 09:20:00,SRV-02,database,34.89,39.63,10.5,200
2026-08-01 09:25:00,SRV-04,api_gateway,33.7,7.8,25.03,200
2026-08-01 09:30:00,SRV-03,web_server,42.59,80.11,3.44,200
2026-08-01 09:35:00,SRV-01,api_gateway,63.25,16.03,12.18,200
2026-08-01 09:40:00,SRV-03,web_server,50.1,58.29,31.42,404
2026-08-01 09:45:00,SRV-02,web_server,72.78,58.05,15.47,200
2026-08-01 09:50:00,SRV-04,database,43.6,49.38,18.9,200
2026-08-01 09:55:00,SRV-05,web_server,46.34,60.14,15.88,200
2026-08-01 10:00:00,SRV-03,database,51.23,33.21,6.12,404
2026-08-01 10:05:00,SRV-03,api_gateway,40.88,34.87,28.07,500
2026-08-01 10:10:00,SRV-05,database,22.64,17.06,18.13,200
2026-08-01 10:15:00,SRV-02,api_gateway,57.98,6.09,16.88,201
2026-08-01 10:20:00,SRV-04,web_server,31.67,12.73,8.41,200
2026-08-01 10:25:00,SRV-03,web_server,52.47,79.96,9.46,200
2026-08-01 10:30:00,SRV-04,database,72.66,73.49,22.57,200
2026-08-01 10:35:00,SRV-04,web_server,32.96,63.32,7.98,200
2026-08-01 10:40:00,SRV-05,api_gateway,70.53,60.71,10.91,200
2026-08-01 10:45:00,SRV-02,api_gateway,52.55,58.64,29.5,500
2026-08-01 10:50:00,SRV-02,web_server,57.88,55.38,20.86,200
2026-08-01 10:55:00,SRV-02,web_server,66.07,44.41,24.5,200
2026-08-01 11:00:00,SRV-01,api_gateway,72.01,16.1,15.68,200
2026-08-01 11:05:00,SRV-04,database,37.62,13.11,7.88,200
2026-08-01 11:10:00,SRV-03,web_server,71.6,29.92,14.28,200
2026-08-01 11:15:00,SRV-03,web_server,60.43,87.18,18.08,500
2026-08-01 11:20:00,SRV-05,web_server,51.1,20.78,3.57,200
2026-08-01 11:25:00,SRV-02,api_gateway,58.49,11.68,25.56,200
2026-08-01 11:30:00,SRV-03,api_gateway,56.29,24.98,7.1,200
